word,quantity
the,52
of,46
and,43
to,27
that,22
a,20
George,17
W.,17
Bush:,17
in,17
our,17
is,17
we,15
have,15
I,11
at,8
was,8
for,8
an,8
many,7
Americans,7
can,7
The,6
with,6
your,6
people,6
but,5
be,5
In,5
could,5
saw,5
been,5
their,5
That,5
nation,5
know.,5
would,4
country,4
you,4
those,4
There,4
were,4
are,4
We,4
not,4
they,4
us,4
from,4
You,4
group,4
20,3
years,3
all,3
found,3
different,3
lives,3
loved,3
it,3
who,3
It,3
All,3
as,3
every,3
come,3
into,3
has,3
what,3
At,3
time,3
when,3
"ago,",2
ways,2
same,2
then,2
again.,2
These,2
precious,2
honor,2
so,2
long,2
well.,2
young,2
mix,2
bravery,2
it.,2
enemy,2
proud,2
these,2
passengers,2
crew,2
Flight,2
93,2
honored,2
owe,2
skies,2
this,2
terrible,2
events.,2
death.,2
within.,2
learned,2
other,2
life,2
common,2
face,2
ones,2
days,2
Many,2
human,2
comfort,2
After,2
measures,2
And,2
dangers,2
only,2
violence,2
violent,2
extremists,2
But,2
duty,2
millions,2
one,2
cause,2
America,2
citizens,2
hope,2
force,2
or,2
united,2
people.,2
argument,2
America's,2
embrace,2
This,2
terrorists,2
random,2
any,2
by,2
places,1
moment,1
changed,1
forever.,1
world,1
loud,1
carnage,1
sirens,1
quiet,1
missing,1
voices,1
never,1
heard,1
remain,1
infinitely,1
you.,1
"Today,",1
remember,1
"loss,",1
share,1
"sorrow,",1
men,1
women,1
For,1
too,1
recall,1
clear,1
September,1
"day,",1
hard,1
describe,1
feelings,1
experienced.,1
horror,1
scale,1
destruction,1
awe,1
kindness,1
rose,1
meet,1
shock,1
audacity,1
evil,1
gratitude,1
heroism,1
decency,1
opposed,1
sacrifice,1
first,1
"responders,",1
mutual,1
aid,1
"strangers,",1
solidarity,1
grief,1
"grace,",1
actions,1
revealed,1
spirit,1
people;,1
wounded,1
nation.,1
"memories,",1
must,1
always,1
place.,1
"Here,",1
intended,1
targets,1
became,1
instruments,1
"rescue,",1
now,1
alive,1
vast,1
unconscious,1
debt,1
defiance,1
displayed,1
above,1
field.,1
mistake,1
idealize,1
experience,1
initially,1
see,1
brute,1
randomness,1
feel,1
unearned,1
suffering.,1
hear,1
God's,1
silence.There,1
still,1
struggle,1
lonely,1
pain,1
cuts,1
deep,1
fateful,1
"hours,",1
lessons,1
vulnerable,1
"fragile,",1
possess,1
core,1
strength,1
survives,1
worst,1
bring.,1
more,1
than,1
"imagined,",1
emerging,1
sudden,1
splendor,1
vividly,1
felt,1
how,1
hour,1
temporary,1
holy,1
"gift,",1
even,1
longest,1
end.,1
tried,1
make,1
spiritual,1
sense,1
no,1
simple,1
explanation,1
providence,1
will,1
sets,1
direction,1
"lives,",1
sort,1
knowledge.,1
wandering,1
lost,1
"dark,",1
actually,1
walking,1
step-by-step,1
toward,1
grace.,1
As,1
"nation,",1
adjustments,1
profound.,1
struggled,1
understand,1
why,1
hate,1
such,1
zeal.,1
security,1
incorporated,1
both,1
sources,1
reminders,1
vulnerability.,1
seen,1
growing,1
evidence,1
across,1
"borders,",1
gathers,1
little,1
cultural,1
overlap,1
between,1
abroad,1
home.,1
there's,1
disdain,1
pluralism,1
disregard,1
"life,",1
determination,1
defile,1
national,1
symbols.,1
They,1
children,1
foul,1
"spirit,",1
continuing,1
confront,1
them.,1
"9/11,",1
brave,1
stepped,1
forward,1
volunteered,1
serve,1
Armed,1
Forces.,1
military,1
taken,1
over,1
last,1
pursue,1
source,1
led,1
debate.,1
thing,1
certain.,1
assurance,1
fought,1
nation's,1
most,1
recent,1
battles.,1
(04:53),1
Let,1
me,1
speak,1
directly,1
veterans,1
uniform.,1
pursued,1
call,1
noblest,1
offer.,1
shielded,1
fellow,1
danger.,1
defended,1
beliefs,1
advance,1
rights,1
downtrodden.,1
mercy,1
dark,1
places.,1
good,1
world.,1
Nothing,1
"followed,",1
nothing,1
tarnish,1
diminish,1
accomplishments.,1
To,1
"dead,",1
forever,1
grateful.,1
weeks,1
months,1
following,1
9/11,1
"attacks,",1
lead,1
amazing,1
resilient,1
When,1
comes,1
unity,1
"America,",1
seem,1
distant,1
own.,1
A,1
malign,1
seems,1
work,1
turns,1
disagreement,1
clash,1
cultures.,1
"So,",1
much,1
politics,1
become,1
naked,1
appeal,1
"anger,",1
"fear,",1
resentment.,1
leaves,1
worried,1
about,1
future,1
together.,1
without,1
explanations,1
solutions.,1
tell,1
I've,1
seen.,1
On,1
day,1
trial,1
"grief,",1
instinctively,1
grab,1
neighbor's,1
hand,1
rally,1
another.,1
(06:51),1
religious,1
bigotry,1
might've,1
flowed,1
"freely,",1
reject,1
prejudice,1
Muslim,1
faith.,1
nativism,1
stirred,1
hatred,1
against,1
perceived,1
"outsiders,",1
reaffirm,1
welcome,1
immigrants,1
refugees.,1
some,1
viewed,1
rising,1
generation,1
individualistic,1
"decadent,",1
ethic,1
service,1
rise,1
selfless,1
action.,1
mere,1
nostalgia.,1
truest,1
version,1
ourselves.,1
chose,1
on,1
routine,1
flight,1
collateral,1
damage,1
spectacular,1
act,1
terror.,1
33,1
seven,1
selected,1
fate.,1
"sense,",1
stood,1
all.,1
soon,1
discovered,1
exceptional,1
Facing,1
impossible,1
"circumstance,",1
comforted,1
"phone,",1
braced,1
each,1
"action,",1
defeated,1
designs,1
evil.,1
"brave,",1
"strong,",1
shocked,1
"terrorists,",1
should,1
surprise,1
us.,1
whenever,1
need,1
"inspiration,",1
look,1
"remember,",1
God,1
bless.,1
